iter	RMSE
0	167.9747568
1	155.6812613
2	146.3686631
3	136.5943455
4	127.3223315
5	120.2228698
6	113.9836492
7	106.3945703
8	100.1683841
9	94.55384176
10	89.61947842
11	85.12330725
12	80.91937493
13	77.3452192
14	74.92824464
15	71.6881375
16	68.97439495
17	66.43528248
18	63.90635378
19	61.91885076
20	60.41097245
21	58.44211294
22	57.43842708
23	56.4170097
24	55.39208569
25	54.03498842
26	53.35753713
27	52.29753858
28	51.72460052
29	50.36051199
30	49.64634975
31	48.92433534
32	48.06817725
33	47.47694224
34	46.63513129
35	46.12582958
36	45.38135108
37	44.97922387
38	44.5441884
39	44.18318983
40	43.7546089
41	43.5108088
42	43.18001031
43	42.97346216
44	42.63516597
45	42.48778524
46	41.96464465
47	41.56978894
48	41.32346695
49	40.99787369
50	40.71091367
51	40.39994165
52	40.08659292
53	39.87462395
54	39.60911372
55	39.45351151
56	39.13324507
57	38.87134126
58	38.69935887
59	38.37641699
60	38.16750653
61	37.99335423
62	37.84193681
63	37.62331619
64	37.46801697
65	37.17919337
66	37.05301464
67	36.93886355
68	36.74237839
69	36.4530395
70	36.2960182
71	36.1324773
72	35.97799536
73	35.81863622
74	35.71447306
75	35.57070297
76	35.37923524
77	35.15175584
78	35.0169257
79	34.87735424
80	34.68097949
81	34.49136673
82	34.36672367
83	34.22561639
84	34.01081358
85	33.86451674
86	33.71323958
87	33.60492726
88	33.48086006
89	33.33182879
90	33.21249137
91	33.0624553
92	32.9490134
93	32.79759415
94	32.65610482
95	32.54145602
96	32.3995052
97	32.25619201
98	32.0921432
99	31.96012812
