iter	Passed	Remaining
0	7	766
1	14	731
2	22	728
3	29	717
4	35	665
5	51	803
6	58	781
7	66	761
8	73	748
9	81	729
10	88	715
11	96	705
12	103	693
13	108	666
14	115	657
15	123	648
16	131	640
17	138	629
18	145	618
19	152	611
20	159	601
21	167	594
22	175	587
23	183	580
24	190	572
25	211	600
26	218	590
27	225	580
28	232	569
29	239	559
30	247	549
31	254	540
32	261	530
33	268	521
34	275	512
35	283	504
36	291	495
37	298	486
38	306	478
39	314	471
40	321	462
41	328	454
42	335	444
43	342	435
44	361	441
45	368	432
46	375	423
47	382	414
48	390	405
49	397	397
50	405	389
51	413	381
52	422	374
53	429	366
54	437	358
55	444	349
56	451	340
57	458	332
58	466	324
59	474	316
60	482	308
61	489	299
62	496	291
63	504	283
64	523	281
65	530	273
66	537	264
67	545	256
68	552	248
69	559	239
70	566	231
71	574	223
72	581	215
73	588	206
74	595	198
75	603	190
76	610	182
77	617	174
78	624	166
79	632	158
80	640	150
81	647	142
82	654	134
83	661	126
84	681	120
85	688	112
86	695	103
87	702	95
88	710	87
89	716	79
90	724	71
91	731	63
92	738	55
93	746	47
94	753	39
95	760	31
96	766	23
97	774	15
98	782	7
99	789	0
