iter	Passed	Remaining
0	3	3432
1	6	3256
2	13	4469
3	16	4053
4	19	3822
5	21	3587
6	28	3993
7	30	3817
8	33	3689
9	35	3554
10	38	3445
11	48	4031
12	52	4003
13	66	4699
14	70	4626
15	83	5112
16	95	5518
17	99	5431
18	103	5327
19	116	5726
20	130	6092
21	135	6038
22	148	6298
23	169	6895
24	182	7132
25	193	7237
26	197	7103
27	201	6977
28	209	7014
29	212	6883
30	215	6748
31	218	6612
32	225	6615
33	228	6496
34	231	6387
35	234	6282
36	243	6325
37	246	6247
38	250	6172
39	257	6190
40	261	6111
41	264	6029
42	267	5945
43	274	5967
44	277	5889
45	280	5820
46	285	5795
47	289	5740
48	292	5669
49	294	5598
50	297	5527
51	301	5502
52	306	5477
53	309	5424
54	314	5400
55	326	5509
56	346	5737
57	362	5886
58	402	6418
59	422	6620
60	429	6615
61	444	6730
62	458	6814
63	472	6906
64	479	6900
65	486	6885
66	490	6834
67	500	6858
68	504	6801
69	514	6837
70	517	6777
71	522	6736
72	532	6767
73	536	6715
74	546	6737
75	549	6678
76	552	6619
77	555	6563
78	583	6797
79	586	6749
80	596	6767
81	601	6731
82	604	6674
83	613	6688
84	617	6651
85	626	6661
86	631	6626
87	635	6583
88	642	6580
89	646	6536
90	650	6497
91	669	6610
92	679	6622
93	682	6576
94	686	6536
95	699	6582
96	702	6537
97	716	6596
98	729	6641
99	734	6612
100	746	6643
101	776	6837
102	781	6802
103	791	6819
104	795	6782
105	800	6751
106	811	6768
107	815	6732
108	825	6748
109	828	6705
110	831	6661
111	840	6666
112	845	6636
113	848	6592
114	854	6578
115	858	6540
116	863	6516
117	869	6499
118	874	6475
119	879	6448
120	885	6431
121	889	6400
122	893	6373
123	901	6370
124	906	6343
125	908	6304
126	917	6308
127	922	6281
128	924	6244
129	929	6218
130	944	6267
131	959	6308
132	970	6328
133	976	6308
134	988	6335
135	1002	6368
136	1027	6474
137	1041	6505
138	1053	6525
139	1062	6528
140	1071	6529
141	1082	6540
142	1091	6539
